ingredients,variable,value
marjoram,black_pepper,0.0403797548411
oregano,black_pepper,0.0166838208941
yam,black_pepper,4.81649166747e-05
wood,black_pepper,7.2247375012e-05
vanilla,black_pepper,0.001174875772
parmesan_cheese,black_pepper,0.000759810433331
pork_liver,black_pepper,0.0
squid,black_pepper,0.0215594332764
sesame_seed,black_pepper,0.00338349301291
fenugreek,black_pepper,0.103637081412
balm,black_pepper,0.0
broccoli,black_pepper,0.000798252863858
feta_cheese,black_pepper,0.0118358232141
white_wine,black_pepper,0.00410440459224
oat,black_pepper,0.000400163691884
nira,black_pepper,0.0015923566879
lovage,black_pepper,0.00655522386347
onion,black_pepper,0.975892338873
leaf,black_pepper,0.000752162467093
truffle,black_pepper,0.000800327383768
pepper,black_pepper,0.194622678573
champagne_wine,black_pepper,4.81649166747e-05
black_bean,black_pepper,0.0162623668756
cranberry,black_pepper,0.000856140266681
mandarin_peel,black_pepper,0.0
green_tea,black_pepper,0.0
cocoa,black_pepper,0.000120412291687
caviar,black_pepper,0.000472411066896
sturgeon_caviar,black_pepper,2.40824583373e-05
lime_peel_oil,black_pepper,0.0
artemisia,black_pepper,0.0
lilac_flower_oil,black_pepper,0.0
cashew,black_pepper,0.00712119621291
star_anise,black_pepper,2.40824583373e-05
munster_cheese,black_pepper,2.40824583373e-05
starch,black_pepper,0.090360363047
condiment,black_pepper,0.0
mackerel,peanut_butter,0.0
black_pepper,peanut_butter,0.0185057568717
peanut_butter,peanut_butter,0.0
black_mustard_seed_oil,peanut_butter,0.0
celery_oil,peanut_butter,2.40824583373e-05
red_bean,peanut_butter,0.0
almond,peanut_butter,0.00233267855746
bacon,peanut_butter,7.2247375012e-05
lavender,peanut_butter,0.0
litchi,peanut_butter,0.0
jasmine,peanut_butter,0.0
maple_syrup,peanut_butter,0.000168577208361
smoke,peanut_butter,2.40824583373e-05
soybean,peanut_butter,0.0051254227317
blueberry,peanut_butter,0.0
red_kidney_bean,peanut_butter,0.0
pecan,peanut_butter,0.000337154416723
smoked_sausage,peanut_butter,0.0
chayote,peanut_butter,0.0
honey,peanut_butter,0.0165205376162
cottage_cheese,peanut_butter,0.0
hop,peanut_butter,0.0
wine,peanut_butter,0.00221226626578
orange_juice,peanut_butter,0.000168577208361
roasted_sesame_seed,peanut_butter,0.000796178343949
avocado,peanut_butter,0.0
tomato_juice,peanut_butter,0.0
fig,peanut_butter,0.0
savory,peanut_butter,0.0
coffee,peanut_butter,9.63298333494e-05
bread,peanut_butter,0.000472411066896
meat,peanut_butter,4.81649166747e-05
thyme,peanut_butter,0.00324107278279
citrus_peel,peanut_butter,0.0
rosemary,peanut_butter,0.0
prawn,peanut_butter,0.0
turnip,peanut_butter,0.0
sweet_potato,peanut_butter,0.00570590064016
black_sesame_seed,peanut_butter,0.0
roasted_hazelnut,peanut_butter,0.0
raisin,peanut_butter,0.00286249264089
garlic,peanut_butter,0.0964555036364
cheddar_cheese,peanut_butter,7.2247375012e-05
pimento,peanut_butter,0.0
lettuce,peanut_butter,0.00337741955163
tamarind,peanut_butter,2.40824583373e-05
licorice,peanut_butter,4.81649166747e-05
cereal,peanut_butter,7.2247375012e-05
hazelnut,peanut_butter,0.0
ginger,peanut_butter,0.0460709368665
seed,peanut_butter,0.000240824583373
mint,peanut_butter,0.0
goat_cheese,peanut_butter,0.0
watercress,peanut_butter,0.0
macadamia_nut,peanut_butter,0.0
pineapple,peanut_butter,0.0
armagnac,peanut_butter,0.0
tequila,peanut_butter,0.0
sage,peanut_butter,0.0
fennel,peanut_butter,0.0
chamomile,peanut_butter,0.0
shellfish,peanut_butter,0.0
milk_fat,peanut_butter,0.00293723892426
celery,peanut_butter,0.0028291720827
mung_bean,peanut_butter,0.0
rice,peanut_butter,0.00883330032275
sour_milk,peanut_butter,0.0
watermelon,peanut_butter,0.0
sheep_cheese,peanut_butter,0.0
bay,peanut_butter,2.40824583373e-05
grape_juice,peanut_butter,0.00258627297941
nut,peanut_butter,0.000192659666699
yogurt,peanut_butter,0.000120412291687
lemon_peel,peanut_butter,0.0
huckleberry,peanut_butter,0.0
cod,peanut_butter,0.0
lime_juice,peanut_butter,0.0159321179491
beef,peanut_butter,0.00605892094802
shiitake,peanut_butter,0.0
parsley,peanut_butter,0.000439147797011
beer,peanut_butter,0.0
